frame.number,frame.time_epoch,ip.src,ip.dst,ipv6.src,ipv6.dst,ip.proto,ipv6.nxt,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len
40211,1787931522.313149900,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40212,1787931522.317357300,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40213,1787931522.317359500,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40214,1787931522.317361100,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40215,1787931522.317362600,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40216,1787931522.318355900,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40217,1787931522.318855000,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40218,1787931522.319399400,,,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,2405:200:1630:b0d::c,,17,,,58652,443,95
40219,1787931522.320463500,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40220,1787931522.320465000,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40221,1787931522.323171400,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40222,1787931522.323173100,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40223,1787931522.323625900,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40224,1787931522.324252800,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40225,1787931522.327964400,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40226,1787931522.327967400,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40227,1787931522.329159100,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40228,1787931522.329160500,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40229,1787931522.329429200,,,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,2405:200:1630:b0d::c,,17,,,58652,443,95
40230,1787931522.329475700,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40231,1787931522.330407000,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40232,1787931522.332478800,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40233,1787931522.332909000,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
